ID,country,sector_trabajo,area_performance,profesion,cargo_trabajo_actual,actividad_institucion,sabe_programar,años_exp_programacion,niv_conocimiento_programacion,javascript,react,react_native,typescript,node_js,express,next_js,python,java,angular,mongo_db,solidity,unity,net,aws,fue_recomendado,orientacion,preferencia_rol_ia,nivel_estudio_dev,interes_resolver_problemas_inf_dev,capacidad_enfoque_dev,interes_conocimiento_programacion_dev,flexibilidad_cambios_at_work_dev,considera_importante_etica_ddhh_dev,considera_formacion_sector_publico_en_ia_dev,nivel_estudio_pm,mente_abierta_pm,interes_agile_pm,virtud_confiabilidad_pm,virtud_liderazgo_pm,virtud_proactividad_pm,virtud_valoracion_pm,virtud_seguimiento_proyectos_pm,virtud_persona_organizada_pm,interes_soft_seguimiento_proyectos_pm,considera_importante_etica_ddhh_pm,considera_formacion_sector_publico_en_ia_pm,nivel_estudio_ds,interes_proyeccion_datos_ds,interes_visualizaciones_ds,considera_util_decisiones_datos_ds,interes_volumens_datos_ds,sabe_aplicar_metodologias_ds,virtud_innovacion_ds,interes_deteccion_patrones_ds,considera_importante_etica_ddhh_ds,considera_formacion_sector_publico_en_ia_ds,verticales_ds,nivel_ingles_ds,score,mod_gob_datos_TERMINADO,mod_design_desploy_TERMINADO,mod_gob_ia_TERMINADO,mod_react_basic_TERMINADO,mod_react_avanzado_TERMINADO,mod_node_js_TERMINADO,mod_javascript_TERMINADO,mod_challenge_backenv_TERMINADO,mod_node_js_CURSANDO,mod_react_avanzado_CURSANDO,mod_design_desploy_CURSANDO,mod_gob_datos_CURSANDO,mod_gob_ia_CURSANDO,niv_estudio_perfil_dev,niv_estudio_perfil_ds,niv_estudio_perfil_pm,nivel_estudio,considera_importante_etica_ddhh,considera_formacion_sector_publico_en_ia,perfil
A0001,Colombia,Sector Privado,Tecnología e Innovación,Diseñador Web,Diseñador web,No,solo_sabe_programar,Menos de 1 año,Nivel de conocimiento bajo,JR,Sin Conocimiento,Sin Conocimiento,Sin Conocimiento,Sin Conocimiento,Sin Conocimiento,Sin Conocimiento,JR,JR,Sin Conocimiento,Sin Conocimiento,Sin Conocimiento,Sin Conocimiento,Sin Conocimiento,Sin Conocimiento,NO,quiere_programar,sin_datos,No cuento con experiencia en automatización o IA,10,10,10,10,10,10,sin_datos,0,0,0,0,0,0,0,0,0,0,0,sin_datos,0,0,0,0,0,0,0,0,0,sin_datos,sin_datos,59,0,0,0,0,0,0,0,0,0,CURSANDO,0,0,0,solo_sabe_programar,,,solo_sabe_programar,0,0,3
A0002,Argentina,Sector Privado,Otras,Abogado,Abogado,"Miembro equipo de investigacion CIJS de la Facultad de Derecho de la UNC, adscripto en la catedra B de D. Internacional Privado, Profesor de D. Internacional Privado UCES",principiante,,,,,,,,,,,,,,,,,,SI,quiere_programar,sin_datos,No cuento con experiencia en automatización o IA,9,10,10,9,10,10,sin_datos,0,0,0,0,0,0,0,0,0,0,0,sin_datos,0,0,0,0,0,0,0,0,0,sin_datos,sin_datos,57,0,0,0,0,0,0,0,0,0,CURSANDO,0,0,0,principiante,,,principiante,0,0,3
A0003,Argentina,No trabajo,,,,,principiante,,,,,,,,,,,,,,,,,,SI,quiere_programar,sin_datos,No cuento con experiencia en automatización o IA,10,9,10,10,10,10,sin_datos,0,0,0,0,0,0,0,0,0,0,0,sin_datos,0,0,0,0,0,0,0,0,0,sin_datos,sin_datos,58,0,0,0,0,0,0,0,0,0,CURSANDO,0,0,0,principiante,,,principiante,0,0,3
A0004,Argentina,No trabajo,,,,,principiante,,,,,,,,,,,,,,,,,,SI,quiere_programar,sin_datos,No cuento con experiencia en automatización o IA,10,10,10,10,10,9,sin_datos,0,0,0,0,0,0,0,0,0,0,0,sin_datos,0,0,0,0,0,0,0,0,0,sin_datos,sin_datos,58,0,0,0,0,0,0,0,0,0,CURSANDO,0,0,0,principiante,,,principiante,0,0,3
A0005,Bolivia,Sector Público,Administración Pública,Economía - Mención Análisis Económico,Econometrista - Investigador,Teacher Assistant en RIEF The Research Institute in Economics and Finance,solo_sabe_programar,1 a 3 años,Nivel de conocimiento intermedio,Sin Conocimiento,Sin Conocimiento,Sin Conocimiento,Sin Conocimiento,Sin Conocimiento,Sin Conocimiento,Sin Conocimiento,SSR,Sin Conocimiento,Sin Conocimiento,Sin Conocimiento,Sin Conocimiento,,Sin Conocimiento,Sin Conocimiento,SI,quiere_programar,sin_datos,Cuento con título de grado o soy estudiante de una carrera que no se relaciona con la informática.,10,5,10,10,10,10,sin_datos,0,0,0,0,0,0,0,0,0,0,0,sin_datos,0,0,0,0,0,0,0,0,0,sin_datos,sin_datos,54,0,0,0,0,0,0,0,0,0,0,0,CURSANDO,0,grad_av_sin_IA,,,grad_av_sin_IA,0,0,3
A0006,Bolivia,Sector Público,Administración Pública,Economista,Econometrista Investigador,No,solo_sabe_programar,1 a 3 años,Nivel de conocimiento bajo,JR,Sin Conocimiento,Sin Conocimiento,JR,Sin Conocimiento,Sin Conocimiento,Sin Conocimiento,JR,JR,Sin Conocimiento,Sin Conocimiento,Sin Conocimiento,Sin Conocimiento,Sin Conocimiento,Sin Conocimiento,SI,quiere_programar,sin_datos,Cuento con título de grado o soy estudiante de una carrera que no se relaciona con la informática.,8,8,10,10,8,10,sin_datos,0,0,0,0,0,0,0,0,0,0,0,sin_datos,0,0,0,0,0,0,0,0,0,sin_datos,sin_datos,53,0,0,0,0,0,0,0,0,0,CURSANDO,0,0,0,grad_av_sin_IA,,,grad_av_sin_IA,0,0,3
A0007,Argentina,No trabajo,,,,,principiante,,,,,,,,,,,,,,,,,,SI,quiere_programar,sin_datos,Cuento con título de grado o soy estudiante de una carrera que no se relaciona con la informática.,5,7,8,10,9,9,sin_datos,0,0,0,0,0,0,0,0,0,0,0,sin_datos,0,0,0,0,0,0,0,0,0,sin_datos,sin_datos,47,0,0,0,0,0,0,0,0,0,CURSANDO,0,0,0,grad_av_sin_IA,,,grad_av_sin_IA,0,0,2
A0008,Peru,Sector Público,Tecnología e Innovación,INGENIERO MECANICO,PROFESOR PRINCIPAL-MIEMBROS DE LA ASAMBLEA UNIVERSITARIA,"CONSULTORIA EN INGENIERIA Y GESTION, POLITICAS PUBLICAS E INVESTIGACION",principiante,,,,,,,,,,,,,,,,,,NO,no_quiere_programar,Project manager de sistemas de inteligencia artificial,sin_datos,0,0,0,0,0,0,Cuento con título de grado o soy estudiante avanzado de cualquier carrera ( sin conocimientos de IA),9,9,8,10,9,7,9,9,10,10,10,sin_datos,0,0,0,0,0,0,0,0,0,sin_datos,sin_datos,100,0,0,0,0,0,0,0,0,0,0,0,0,0,,,grad_av_sin_IA,grad_av_sin_IA,10,10,3
A0009,Argentina,Sector Público,Otras,Lic. Cs. Computación,Técnica Profesional A,Docencia - Nivel Terciario,solo_sabe_programar,'+10 años,Nivel de conocimiento intermedio,SSR,Sin Conocimiento,Sin Conocimiento,Sin Conocimiento,Sin Conocimiento,Sin Conocimiento,Sin Conocimiento,Sin Conocimiento,JR,Sin Conocimiento,Sin Conocimiento,Sin Conocimiento,Sin Conocimiento,JR,Sin Conocimiento,NO,quiere_programar,sin_datos,Cuento con título de grado o soy estudiante avanzado de carrera informática con poca experiencia o falta acreditación en automatización y/o IA.,10,8,10,9,10,10,sin_datos,0,0,0,0,0,0,0,0,0,0,0,sin_datos,0,0,0,0,0,0,0,0,0,sin_datos,sin_datos,56,TERMINO,0,TERMINO,0,0,0,0,0,0,0,CURSANDO,CURSANDO,CURSANDO,grad_av_sin_IA,,,grad_av_sin_IA,0,0,3
A0010,Argentina,Sector Privado,Tecnología e Innovación,Lic. en Economia,Lider de Proyecto,Docencia Privada,principiante,,,,,,,,,,,,,,,,,,SI,quiere_programar,sin_datos,Cuento con título de grado o soy estudiante de una carrera que no se relaciona con la informática.,6,8,10,10,10,9,sin_datos,0,0,0,0,0,0,0,0,0,0,0,sin_datos,0,0,0,0,0,0,0,0,0,sin_datos,sin_datos,52,0,0,0,0,0,0,0,0,0,CURSANDO,0,0,0,grad_av_sin_IA,,,grad_av_sin_IA,0,0,3
